User_ID,Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Age in Yrs,Date of Joining,Age in Company (Years),Salary,SSN,Phone No,City,State,Zip
aachapman,602683,Ms.,Alberta,A,Chapman,F,alberta.chapman@comcast.net,Bradley Chapman,Karla Chapman,45.18,6/29/1999,18.09,125428,043-15-2394,212-884-9934,Rochester,NY,14611
aagardner,407160,Ms.,Ashlee,A,Gardner,F,ashlee.gardner@gmail.com,Theodore Gardner,Liliana Gardner,52.57,2/8/2015,2.47,186933,491-29-5620,210-690-7906,Corpus Christi,TX,78412
aamyers,790017,Prof.,Aubrey,A,Myers,M,aubrey.myers@hotmail.com,Kenneth Myers,Janice Myers,58.62,3/15/2005,12.38,161252,431-99-6161,803-831-6551,Summerville,SC,29484
aaochoa,117980,Ms.,Ashley,A,Ochoa,F,ashley.ochoa@shell.com,Rubin Ochoa,Rachael Ochoa,38.95,3/24/2015,2.35,145452,226-99-3289,505-459-6399,San Acacia,NM,87831
aapage,247051,Ms.,Alberta,A,Page,F,alberta.page@hotmail.com,Efrain Page,Tania Page,36.5,8/17/2010,6.95,179637,210-84-8950,207-407-3515,Levant,ME,4456
ablandry,818352,Ms.,Allie,B,Landry,F,allie.landry@ntlworld.com,Steven Landry,Chris Landry,51.59,9/5/2006,10.9,170000,183-86-4136,252-527-8497,Claremont,NC,28610
abpoole,596917,Mr.,Ahmad,B,Poole,M,ahmad.poole@gmail.com,Brenton Poole,Ramona Poole,44.17,6/1/2016,1.16,178345,179-86-2300,219-947-6343,North Judson,IN,46366
acfrye,127205,Mrs.,Annmarie,C,Frye,F,annmarie.frye@charter.net,Rickey Frye,Nannie Frye,31.17,7/14/2013,4.04,72981,082-02-2486,219-931-4746,Smithville,IN,47458
adblanchard,308617,Mrs.,Aileen,D,Blanchard,F,aileen.blanchard@gmail.com,Kurt Blanchard,Virgie Blanchard,30.67,7/18/2009,8.03,179264,401-73-0903,308-788-3843,Herman,NE,68029
adlynn,297502,Ms.,Angelina,D,Lynn,F,angelina.lynn@rediffmail.com,Kory Lynn,Latasha Lynn,42.4,3/8/2007,10.4,157805,537-71-3446,308-901-3456,Hazard,NE,68844
adroth,518154,Drs.,Annmarie,D,Roth,F,annmarie.roth@outlook.com,Doyle Roth,Courtney Roth,36.81,2/22/2006,11.44,57649,026-92-8374,212-963-4986,Bronx,NY,10455
aebanks,507999,Ms.,Aida,E,Banks,F,aida.banks@yahoo.com,Margarito Banks,Lourdes Banks,25.68,9/23/2013,3.85,172384,138-25-2714,236-512-2651,Lovingston,VA,22949
aejarvis,717861,Mr.,Aldo,E,Jarvis,M,aldo.jarvis@aol.com,Vance Jarvis,Allison Jarvis,34.64,8/20/2008,8.94,169588,074-02-1008,212-379-9486,Chemung,NY,14825
aemaldonado,487100,Mr.,Augustus,E,Maldonado,M,augustus.maldonado@yahoo.com,Pierre Maldonado,Michele Maldonado,25.19,8/1/2016,0.99,139481,001-11-5502,231-510-3900,Napoleon,MI,49261
afcrawford,467568,Prof.,Andrea,F,Crawford,M,andrea.crawford@exxonmobil.com,Lemuel Crawford,Lucia Crawford,38.96,9/2/2009,7.91,193651,757-12-0852,405-614-0571,Marland,OK,74644
agalexander,649821,Mr.,Andres,G,Alexander,M,andres.alexander@yahoo.com,Micah Alexander,Darlene Alexander,34.96,12/23/2015,1.6,99567,303-37-9353,212-699-1989,Edwards,NY,13635
agbrown,352677,Mr.,Alec,G,Brown,M,alec.brown@cox.net,Leland Brown,Angel Brown,50.4,12/10/2006,10.64,177116,110-98-2990,209-427-5666,Kings Beach,CA,96143
agguy,795746,Mrs.,Angelique,G,Guy,F,angelique.guy@hotmail.com,Armando Guy,Andrea Guy,27.28,7/20/2012,5.02,61936,732-28-2021,210-875-3303,Dallas,TX,75376
agwalsh,201612,Drs.,Alison,G,Walsh,F,alison.walsh@btinternet.com,Charley Walsh,Alba Walsh,45.99,8/20/2010,6.94,154700,364-39-6393,803-754-2504,Monetta,SC,29105
ahkinney,168829,Ms.,Antonia,H,Kinney,F,antonia.kinney@gmail.com,Hans Kinney,Deirdre Kinney,32.48,5/26/2006,11.18,148623,125-98-4079,239-363-8520,Fort Lauderdale,FL,33348
ahmayo,707856,Mr.,Abraham,H,Mayo,M,abraham.mayo@ibm.com,Marcelino Mayo,Shelley Mayo,28.25,1/31/2015,2.49,190663,527-99-3279,270-635-8933,Krypton,KY,41754
ahpuckett,583924,Mrs.,Adrienne,H,Puckett,F,adrienne.puckett@verizon.net,Fletcher Puckett,Nicole Puckett,42.21,2/22/1997,20.44,105366,218-89-2915,209-235-0390,Burlingame,CA,94012
ahvasquez,225090,Mr.,Alfredo,H,Vasquez,M,alfredo.vasquez@bp.com,Martin Vasquez,Allyson Vasquez,44.3,10/4/2005,11.82,59287,560-99-7135,803-918-4988,Clover,SC,29710
ahwiley,252938,Hon.,Antoine,H,Wiley,M,antoine.wiley@verizon.net,Frances Wiley,Naomi Wiley,21.44,4/18/2017,0.28,58733,078-02-8772,503-361-6334,Canby,OR,97013
aibartlett,713805,Mr.,Adam,I,Bartlett,M,adam.bartlett@aol.com,Landon Bartlett,Darla Bartlett,45.87,6/20/2005,12.11,62876,500-29-9319,205-745-6937,Ohatchee,AL,36271
aicampos,732315,Drs.,Amparo,I,Campos,F,amparo.campos@gmail.com,Karl Campos,Milagros Campos,44.84,1/10/2016,1.55,106090,481-41-4117,209-768-6733,Oceanside,CA,92054
aiholland,809104,Mr.,Alexis,I,Holland,M,alexis.holland@aol.com,Shirley Holland,Tracey Holland,37.62,8/17/2011,5.95,189640,556-99-2203,210-983-8877,Fort Worth,TX,76110
ajgentry,280326,Mr.,Agustin,J,Gentry,M,agustin.gentry@aol.com,Julian Gentry,Lenora Gentry,54.7,6/16/1985,32.14,182540,002-11-5972,423-410-5564,Chattanooga,TN,37408
ajherman,257927,Ms.,Agnes,J,Herman,F,agnes.herman@gmail.com,Miguel Herman,Katina Herman,41.65,1/4/1998,19.58,128225,285-15-4898,303-834-2433,Sugar City,CO,81076
ajmedina,404070,Prof.,Aldo,J,Medina,M,aldo.medina@gmail.com,Adolfo Medina,Darcy Medina,43.75,10/4/2009,7.82,61791,450-99-2217,701-676-5051,Linton,ND,58552
