User_ID|Emp ID|First Name|Middle Initial|Last Name|Gender
aachapman|602683|Alberta|A|Chapman|F
aagardner|407160|Ashlee|A|Gardner|F
aamyers|790017|Aubrey|A|Myers|M
aaochoa|117980|Ashley|A|Ochoa|F
aapage|247051|Alberta|A|Page|F
ablandry|818352|Allie|B|Landry|F
abpoole|596917|Ahmad|B|Poole|M
acfrye|127205|Annmarie|C|Frye|F
adblanchard|308617|Aileen|D|Blanchard|F
adlynn|297502|Angelina|D|Lynn|F
adroth|518154|Annmarie|D|Roth|F
aebanks|507999|Aida|E|Banks|F
aejarvis|717861|Aldo|E|Jarvis|M
aemaldonado|487100|Augustus|E|Maldonado|M
afcrawford|467568|Andrea|F|Crawford|M
agalexander|649821|Andres|G|Alexander|M
agbrown|352677|Alec|G|Brown|M
agguy|795746|Angelique|G|Guy|F
agwalsh|201612|Alison|G|Walsh|F
ahkinney|168829|Antonia|H|Kinney|F
ahmayo|707856|Abraham|H|Mayo|M
ahpuckett|583924|Adrienne|H|Puckett|F
ahvasquez|225090|Alfredo|H|Vasquez|M
ahwiley|252938|Antoine|H|Wiley|M
aibartlett|713805|Adam|I|Bartlett|M
aicampos|732315|Amparo|I|Campos|F
aiholland|809104|Alexis|I|Holland|M
ajgentry|280326|Agustin|J|Gentry|M
ajherman|257927|Agnes|J|Herman|F
ajmedina|404070|Aldo|J|Medina|M
ajreyes|666886|Angelita|J|Reyes|F
akbarnett|245059|Abdul|K|Barnett|M
alrichardson|408248|Antwan|L|Richardson|M
alrobles|855670|Adrian|L|Robles|F
alromero|175035|Ava|L|Romero|F
alskinner|798671|Adolph|L|Skinner|M
amcompton|928723|Angela|M|Compton|F
amkane|689587|Ava|M|Kane|F
ampittman|906870|Arnulfo|M|Pittman|M
ancampbell|486465|Arline|N|Campbell|F
anolsen|924999|Arron|N|Olsen|M
apandrews|292144|Augusta|P|Andrews|F
apmarquez|739367|Alyssa|P|Marquez|F
aqholloway|959506|Arthur|Q|Holloway|M
aqpratt|696218|Anita|Q|Pratt|F
ardixon|709146|Amparo|R|Dixon|F
arevans|807182|Adeline|R|Evans|F
armcfarland|224473|Adriana|R|Mcfarland|F
asgray|492623|Aurora|S|Gray|F
ashenderson|964222|Alana|S|Henderson|F
atpugh|169348|Aubrey|T|Pugh|M
avhines|817818|Augustus|V|Hines|M
avprice|603179|Andrew|V|Price|M
awdunlap|670526|Adrian|W|Dunlap|F
axkirby|141178|Adam|X|Kirby|M
axtorres|211129|Alphonse|X|Torres|M
aybowen|358935|Anastasia|Y|Bowen|F
aycarr|518193|Amanda|Y|Carr|F
